text,complexity,domain,severity,tone,resolution_hint,requires_onsite
Having trouble connecting to wifi at home office. Keeps dropping connection every few minutes.,simple,networking,medium,frustrated,Restart router and check for nearby interference sources.,false
"I'm trying to set up a new laptop on our company wifi, but it says it can't get an IP address. Help!",simple,networking,low,calm,Verify DNS settings and ensure WiFi is enabled.,false
Our VPN connection to HQ keeps timing out every hour. It's really annoying. Can you fix it?,simple,networking,medium,urgent,Check VPN server status and adjust timeout settings.,false
I'm having trouble accessing a specific website from my work computer. Error says DNS lookup failed.,simple,networking,low,confused,Check DNS cache and try flushing it if necessary.,false
Why is my network connection so slow? I'm transferring files to our cloud storage and it's taking ages.,simple,networking,medium,frustrated,Check for packet loss and adjust MTU settings if necessary.,false
"Hi, I'm having trouble connecting to our company's VPN from my laptop at home. It keeps saying the password is incorrect even though I know it's correct. Can you help me with that?",simple,networking,medium,frustrated,Check your VPN password and try reconnecting.,false
I'm trying to set up a new device on our WiFi network but it won't recognize my credentials. I've tried resetting the password multiple times and nothing's working.,simple,networking,low,calm,Check your login credentials and ensure they match our WiFi network settings.,false
I'm experiencing some packet loss on my internet connection. It's really slow and sometimes I lose connectivity altogether. Can you look into it?,simple,networking,medium,urgent,Check for any routing issues or firewall settings that might be causing the packet loss.,false
I'm trying to connect my device to our company's VPN but it keeps saying I don't have permission. I've checked with our IT department and they said everything looks good on their end.,simple,networking,medium,confused,"Verify your VPN permissions and try connecting again, checking for any VLAN restrictions.",false
I'm having trouble accessing some websites because they're blocked by our company's firewall. Is there a way to unblock them?,simple,networking,low,frustrated,Check the website's IP address and ensure it's not blocked by our firewall settings.,false
"my laptop can't connect to office wifi at all anymore, it was working fine yesterday",simple,networking,medium,frustrated,restart the router and check for interference from nearby devices,false
"i'm having trouble accessing some websites because my firewall is blocking them, how do i allow specific sites?",simple,networking,low,calm,add the websites to the firewall's exception list or adjust the blocking rules,false
"my internet is super slow today, it took like 10 minutes to load a simple webpage what's going on?",simple,networking,low,confused,check for packet loss or high latency and adjust the network settings accordingly,false
"i'm having trouble connecting to our company's VPN, it keeps saying connection timed out",simple,networking,medium,frustrated,check the VPN server status and ensure your configuration is correct,false
i'm trying to set up a new vlan on our lan but it keeps giving me an error about duplicate subnet,simple,networking,medium,calm,verify the subnet range and ensure it doesn't conflict with existing VLANs,false
"Having trouble connecting to wifi at home office, keep getting disconnected",simple,networking,medium,frustrated,Check wireless channel and switch to a less crowded one,false
"Can't ping the server, packets are being dropped all over the place",simple,networking,medium,urgent,Check the firewall rules and allow the traffic,false
Why does my laptop keep losing connection to the VPN? It's really annoying,simple,networking,low,frustrated,Try restarting the VPN client and reconnect,false
"DNS is super slow, takes forever to resolve names, any ideas?",simple,networking,low,calm,Check the DNS server IP and adjust the resolver settings,false
I'm getting disconnected from my VLAN when I try to access the fileserver,simple,networking,medium,frustrated,Verify the VLAN settings and check for any configuration issues,false
hi I'm having trouble connecting to our company wifi at home I've tried restarting my router and modem but still nothing help,simple,networking,medium,frustrated,Check VPN settings on your router and ensure QoS is disabled.,false
I'm trying to access a shared drive on our office lan but I keep getting a timed out error what's going on?,simple,networking,low,calm,Verify VLAN membership and ensure connection is stable.,false
I'm trying to set up my work laptop on the company VPN but it's not working I've tried all the troubleshooting steps online help!,simple,networking,medium,urgent,Check packet loss and firewall rules; ensure correct VPN server selection.,false
I'm having trouble routing traffic between two subnets on our network I've tried configuring the route but it's not working help me out!,simple,networking,medium,frustrated,Verify routing tables and ensure subnet masks match.,false
I'm trying to connect my home router to our office network using a site-to-site VPN but it's not establishing the connection what am I doing wrong?,simple,networking,low,confused,Verify IP address ranges and ensure DNS resolution is correct.,false
I'm trying to connect to our VPN but it's not working. I've tried restarting my laptop and the issue persists.,simple,networking,medium,frustrated,Check VPN server status and try reconnecting.,false
I'm having trouble accessing a website. It says my DNS is not properly configured.,simple,networking,low,confused,"Try restarting your router and modem, then try accessing the site again.",false
I'm trying to set up a new WiFi network on my smart TV but it's not connecting. It keeps saying 'Authentication failed'.,simple,networking,low,calm,Check your WiFi password and ensure you're entering the correct credentials.,false
I'm having issues with packet loss on my LAN connection. It's causing some of my software to freeze up.,simple,networking,medium,frustrated,Check for firmware updates on your network card and ensure it's properly configured.,false
I'm trying to set up a VLAN on our company's LAN but I'm not sure where to start. Can you help me?,simple,networking,low,calm,Consult your company's network documentation and follow the setup guide.,false
I'm having trouble connecting to our VPN from my home office. It works fine on my work PC but not on my laptop. Getting an error message saying ' unable to establish secure connection'. Can you help me out?,moderate,networking,medium,frustrated,Verify VPN client version and ensure laptop's date/time are accurate.,false
Why am I experiencing packet loss on our company WiFi? It's really slow too. We've got around 5 users affected so far. Any idea what's going on?,moderate,networking,high,urgent,Check for VLAN configuration issues and potential wireless interference.,false
I'm having trouble accessing an internal website (example.com). DNS resolution is failing. Can you help me figure out why? It's just one user affected so far.,moderate,networking,medium,calm,Verify DNS server IP and check for any domain name conflicts.,false
What's going on with our router? It seems to be dropping packets randomly. We've got a few users reporting issues. Can you troubleshoot this?,moderate,networking,high,frustrated,Check for routing table inconsistencies and potential firewall rules conflicts.,false
We're experiencing issues with our WiFi roaming. Users are getting kicked off the network when they move to a different area. Anyone have any ideas?,moderate,networking,medium,confused,Verify AP configuration and wireless settings for roaming capabilities.,false
I'm trying to access our company's VPN from home but it's not working. I get an error message saying 'server not found'. Help!,moderate,networking,medium,frustrated,Check VPN server IP and DNS settings for any typos.,false
Our WiFi is super slow today. I've tried restarting my laptop but nothing's working. There are 5 other employees in the office having the same issue. Please help!,moderate,networking,medium,frustrated,Run a network scan to identify any conflicts or misconfigured devices.,false
I'm having trouble connecting to our company's VPN. It says 'connection timed out'. I've tried restarting my computer and router but it's still not working. Help!,moderate,networking,high,urgent,Check firewall rules for VPN traffic and ensure correct port forwarding.,false
Some of our devices on the LAN are having issues with packet loss. We're experiencing random disconnections and slow data transfer rates. Can you please look into this?,moderate,networking,medium,calm,Investigate network congestion and consider adjusting Quality of Service settings.,false
I'm trying to set up a new VLAN for our marketing team but I'm having trouble getting the DHCP server configured correctly. Can someone please help me out?,moderate,networking,medium,confused,Review DNS settings and ensure correct subnetting for the new VLAN.,false
I'm having trouble connecting to our company VPN from my laptop at home. It keeps saying 'invalid username/password' even though I know it's correct. Can someone help me with this?,moderate,networking,medium,frustrated,Verify VPN credentials and server status.,false
"We're experiencing some packet loss on our WiFi network. It's only affecting 3 users, but we can't afford to have anyone disconnected during this project deadline. Can you help me troubleshoot?",moderate,networking,high,urgent,Check for concurrent connections and wireless interference.,false
"I'm trying to set up a new VLAN on our router, but I keep getting an error message saying it's already in use. Can someone walk me through how to resolve this?",moderate,networking,medium,confused,Check existing VLAN configurations and overlapping ranges.,false
"Our DNS is really slow today. It's been like this for hours, and our website is down. Can you help me figure out what's going on?",moderate,networking,high,panicked,Check DNS server logs and configuration for any issues.,false
"I'm having trouble accessing some websites from our office LAN. It says the site is blocked by our firewall, but I know it's not supposed to be. Can someone help me get around this block?",moderate,networking,medium,calm,Check firewall rules and exceptions for any misconfigured settings.,false
Cannot access company intranet from home VPN connection keeps dropping,moderate,networking,high,frustrated,Check VPN server logs for packet loss issues,false
"WiFi not working in meeting room, getting ' authentication failed' error message",moderate,networking,medium,calm,Check VLAN settings for rogue APs or misconfigured ports,false
"Firewall blocking traffic to our server, causing production downtime",moderate,networking,high,urgent,Verify firewall rules and adjust for specific IP addresses,false
We have multiple users reporting DNS resolution issues with our internal names,moderate,networking,medium,confused,Check for DNS server caching issues or misconfigured zone files,false
